RESPAGE,LIFESAT,INFOSOU1,TRUMTVINFO,FATEINLF,BUSINRUS,BUSINTUR,BUSINGA,NEIGHBOR,USSRDISS,EUSUPP,EEUSUPNA,EEUNSUW,EEUSUPW,MAINFRN,MAINENEM,MAINMOD,PARTYSUPP,PARTYSUPF,WORKTYP,PERSINC,EDUYRS,RFAEDUC,RMOEDUC,RELGNEW,RELIMP,ECONSTN,MONYTOT
33.0,4.0,4.0,-4.0,5.0,1.0,1.0,0.0,5.0,2.0,3.0,5.0,-7.0,1.0,3.0,-5.0,5.0,302.0,-7.0,-7.0,9.0,14.0,4.0,4.0,7.0,3.0,2.0,9.0
28.0,5.0,8.0,305.0,10.0,0.0,0.0,0.0,8.0,-1.0,5.0,-1.0,-7.0,-7.0,-1.0,-1.0,-1.0,301.0,-7.0,-7.0,9.0,12.0,4.0,4.0,3.0,3.0,3.0,5.0
32.0,10.0,8.0,-1.0,10.0,1.0,1.0,-1.0,8.0,-1.0,4.0,3.0,-7.0,-7.0,-1.0,5.0,-1.0,-2.0,-2.0,5.0,-1.0,23.0,7.0,7.0,3.0,3.0,1.0,-2.0
25.0,5.0,4.0,-5.0,10.0,1.0,1.0,1.0,5.0,-1.0,3.0,4.0,-7.0,1.0,4.0,5.0,6.0,302.0,-7.0,8.0,4.0,12.0,4.0,4.0,3.0,4.0,2.0,4.0
30.0,10.0,5.0,-5.0,5.0,1.0,1.0,1.0,5.0,1.0,5.0,3.0,-7.0,-7.0,-5.0,5.0,6.0,-5.0,-3.0,4.0,6.0,15.0,4.0,4.0,3.0,4.0,2.0,4.0
26.0,7.0,1.0,-5.0,5.0,1.0,1.0,0.0,6.0,-1.0,4.0,-1.0,-7.0,-7.0,1.0,5.0,11.0,-5.0,301.0,4.0,5.0,16.0,5.0,5.0,3.0,4.0,3.0,4.0
23.0,6.0,8.0,301.0,5.0,1.0,1.0,0.0,6.0,-1.0,4.0,3.0,-7.0,-7.0,2.0,5.0,9.0,-5.0,-5.0,-7.0,9.0,12.0,4.0,4.0,6.0,3.0,2.0,6.0
27.0,5.0,4.0,-4.0,10.0,1.0,0.0,0.0,-5.0,2.0,4.0,1.0,2.0,-7.0,1.0,5.0,-1.0,302.0,-7.0,-7.0,6.0,12.0,7.0,4.0,3.0,4.0,1.0,6.0
27.0,8.0,5.0,-5.0,5.0,1.0,0.0,1.0,5.0,1.0,4.0,-1.0,-7.0,-7.0,-1.0,5.0,-1.0,-2.0,-2.0,-7.0,9.0,16.0,4.0,4.0,3.0,3.0,2.0,6.0
31.0,5.0,4.0,-5.0,5.0,1.0,1.0,1.0,8.0,1.0,4.0,2.0,5.0,-7.0,-5.0,5.0,1.0,302.0,-7.0,-7.0,9.0,11.0,7.0,7.0,3.0,3.0,2.0,5.0
18.0,-2.0,8.0,-4.0,1.0,1.0,1.0,0.0,8.0,1.0,5.0,1.0,1.0,-7.0,-5.0,5.0,10.0,311.0,-7.0,-7.0,8.0,12.0,7.0,7.0,3.0,3.0,2.0,5.0
30.0,10.0,8.0,-4.0,5.0,1.0,1.0,0.0,6.0,1.0,-1.0,3.0,-7.0,-7.0,1.0,5.0,9.0,-5.0,-5.0,-7.0,9.0,16.0,4.0,7.0,3.0,3.0,1.0,7.0
25.0,9.0,4.0,-1.0,-2.0,1.0,1.0,0.0,6.0,1.0,4.0,3.0,-7.0,-7.0,-1.0,5.0,10.0,-5.0,-5.0,-2.0,-2.0,17.0,7.0,7.0,3.0,3.0,3.0,-2.0
25.0,5.0,4.0,-5.0,10.0,1.0,0.0,0.0,8.0,1.0,4.0,1.0,2.0,-7.0,-1.0,5.0,6.0,-5.0,-5.0,-7.0,9.0,11.0,4.0,4.0,3.0,4.0,3.0,5.0
